Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"DIODE_GND","DIODE_GND",3016,"Parametric","",-1000,-300,"mV",-446.382,-446.382,-446.382,0,***,***,***,1,0,0,0.072167,***
"DIODE_GND","DIODE_GND",3116,"Parametric","",-1000,-300,"mV",-446.128,-446.128,-446.128,0,***,***,***,1,0,0,0.072167,***
"DIODE_GND","DIODE_GND",3216,"Parametric","",-1000,-300,"mV",-446.434,-446.434,-446.434,0,***,***,***,1,0,0,0.072167,***
"DIODE_GND","DIODE_GND",3316,"Parametric","",-1000,-300,"mV",-444.208,-444.208,-444.208,0,***,***,***,1,0,0,0.072167,***
"DIODE_GND","DIODE_GND",3416,"Parametric","",-1000,-300,"mV",-445.638,-445.638,-445.638,0,***,***,***,1,0,0,0.072167,***
"DIODE_GND","DIODE_GND",3516,"Parametric","",-1000,-300,"mV",-445.823,-445.823,-445.823,0,***,***,***,1,0,0,0.072167,***
"DIODE_GND","DIODE_GND",3616,"Parametric","",-1000,-300,"mV",-445.651,-445.651,-445.651,0,***,***,***,1,0,0,0.072167,***
"DIODE_GND","DIODE_GND",3716,"Parametric","",-1000,-300,"mV",-446.211,-446.211,-446.211,0,***,***,***,1,0,0,0.072167,***
"DIODE_GND","DIODE_GND",3816,"Parametric","",-1000,-300,"mV",-446.949,-446.949,-446.949,0,***,***,***,1,0,0,0.072167,***
"DIODE_GND","DIODE_GND",3916,"Parametric","",-1000,-300,"mV",-446.981,-446.981,-446.981,0,***,***,***,1,0,0,0.072167,***
"DIODE_GND","DIODE_GND",4016,"Parametric","",-1000,-300,"mV",-444.735,-444.735,-444.735,0,***,***,***,1,0,0,0.072167,***
"DIODE_GND","DIODE_GND",4116,"Parametric","",-1000,-300,"mV",-446.708,-446.708,-446.708,0,***,***,***,1,0,0,0.072167,***
"DIODE_GND","DIODE_GND",4216,"Parametric","",-1000,-300,"mV",-446.561,-446.561,-446.561,0,***,***,***,1,0,0,0.072167,***
"DIODE_GND","DIODE_GND",4316,"Parametric","",-1000,-300,"mV",-446.078,-446.078,-446.078,0,***,***,***,1,0,0,0.072167,***
"DIODE_GND","DIODE_GND",4416,"Parametric","",-1000,-300,"mV",-446.663,-446.663,-446.663,0,***,***,***,1,0,0,0.072167,***
"DIODE_GND","DIODE_GND",4516,"Parametric","",-1000,-300,"mV",-448.139,-448.139,-448.139,0,***,***,***,1,0,0,0.072167,***
"DIODE_GND","DIODE_GND",4616,"Parametric","",-1000,-300,"mV",-448.915,-448.915,-448.915,0,***,***,***,1,0,0,0.072167,***
