Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
122,"P1.2",0,2,1,"1",1,4184.72,""
123,"P1.3",0,3,1,"1",1,4184.73,""
124,"P1.4",0,4,1,"1",1,4184.73,""
125,"P1.5",0,5,1,"1",1,4184.74,""
126,"P1.6",0,6,1,"1",1,4184.75,""
127,"P1.7",0,7,1,"1",1,4184.75,""
128,"P1.8",0,8,1,"1",1,4184.76,""
129,"P1.1",0,1,1,"1",1,4219.81,""
130,"P1.2",0,2,1,"1",1,4219.82,""
131,"P1.3",0,3,1,"1",1,4219.83,""
132,"P1.4",0,4,1,"1",1,4219.83,""
133,"P1.5",0,5,1,"1",1,4219.84,""
134,"P1.6",0,6,1,"1",1,4219.85,""
135,"P1.7",0,7,1,"1",1,4219.85,""
136,"P1.8",0,8,1,"1",1,4219.86,""
137,"P1.1",0,1,1,"1",1,4190.15,""
138,"P1.2",0,2,1,"1",1,4190.16,""
139,"P1.3",0,3,1,"1",1,4190.18,""
140,"P1.4",0,4,1,"1",1,4190.2,""
141,"P1.5",0,5,1,"1",1,4190.21,""
142,"P1.6",0,6,1,"1",1,4190.23,""
143,"P1.7",0,7,1,"1",1,4190.24,""
144,"P1.8",0,8,1,"1",1,4190.26,""
145,"P1.1",0,1,1,"1",1,4178.62,""
146,"P1.2",0,2,1,"1",1,4178.64,""
147,"P1.3",0,3,1,"1",1,4178.65,""
148,"P1.4",0,4,1,"1",1,4178.66,""
149,"P1.5",0,5,1,"1",1,4178.68,""
150,"P1.6",0,6,1,"1",1,4178.69,""
151,"P1.7",0,7,1,"1",1,4178.71,""
152,"P1.8",0,8,1,"1",1,4178.72,""
153,"P1.1",0,1,1,"1",1,4195.82,""
154,"P1.2",0,2,1,"1",1,4195.84,""
155,"P1.3",0,3,1,"1",1,4195.86,""
156,"P1.4",0,4,1,"1",1,4195.87,""
157,"P1.5",0,5,1,"1",1,4195.88,""
158,"P1.6",0,6,1,"1",1,4195.89,""
159,"P1.7",0,7,1,"1",1,4195.9,""
160,"P1.8",0,8,1,"1",1,4195.9,""
161,"P1.1",0,1,1,"1",1,4257.8,""
162,"P1.2",0,2,1,"1",1,4257.81,""
163,"P1.3",0,3,1,"1",1,4257.83,""
164,"P1.4",0,4,1,"1",1,4257.84,""
165,"P1.5",0,5,1,"1",1,4257.85,""
166,"P1.6",0,6,1,"1",1,4257.87,""
167,"P1.7",0,7,1,"1",1,4257.88,""
168,"P1.8",0,8,1,"1",1,4257.9,""
169,"P1.1",0,1,1,"1",1,4192.75,""
170,"P1.2",0,2,1,"1",1,4192.76,""
171,"P1.3",0,3,1,"1",1,4192.76,""
172,"P1.4",0,4,1,"1",1,4192.77,""
173,"P1.5",0,5,1,"1",1,4192.78,""
174,"P1.6",0,6,1,"1",1,4192.78,""
175,"P1.7",0,7,1,"1",1,4192.79,""
176,"P1.8",0,8,1,"1",1,4192.8,""
177,"P1.1",0,1,1,"1",1,4227.68,""
178,"P1.2",0,2,1,"1",1,4227.69,""
179,"P1.3",0,3,1,"1",1,4227.69,""
180,"P1.4",0,4,1,"1",1,4227.7,""
181,"P1.5",0,5,1,"1",1,4227.7,""
182,"P1.6",0,6,1,"1",1,4227.71,""
183,"P1.7",0,7,1,"1",1,4227.72,""
184,"P1.8",0,8,1,"1",1,4227.72,""
185,"P1.1",0,1,1,"1",1,4217.9,""
186,"P1.2",0,2,1,"1",1,4217.92,""
187,"P1.3",0,3,1,"1",1,4217.97,""
188,"P1.4",0,4,1,"1",1,4217.99,""
189,"P1.5",0,5,1,"1",1,4218.02,""
190,"P1.6",0,6,1,"1",1,4218.05,""
191,"P1.7",0,7,1,"1",1,4218.07,""
192,"P1.8",0,8,1,"1",1,4218.08,""
193,"P1.1",0,1,1,"1",1,4229.08,""
194,"P1.2",0,2,1,"1",1,4229.09,""
195,"P1.3",0,3,1,"1",1,4229.1,""
196,"P1.4",0,4,1,"1",1,4229.1,""
197,"P1.5",0,5,1,"1",1,4229.11,""
198,"P1.6",0,6,1,"1",1,4229.11,""
199,"P1.7",0,7,1,"1",1,4229.12,""
200,"P1.8",0,8,1,"1",1,4229.13,""
201,"P1.1",0,1,1,"1",1,4192.69,""
202,"P1.2",0,2,1,"1",1,4192.7,""
203,"P1.3",0,3,1,"1",1,4192.72,""
204,"P1.4",0,4,1,"1",1,4192.73,""
205,"P1.5",0,5,1,"1",1,4192.75,""
206,"P1.6",0,6,1,"1",1,4192.76,""
207,"P1.7",0,7,1,"1",1,4192.78,""
208,"P1.8",0,8,1,"1",1,4192.8,""
209,"P1.1",0,1,1,"1",1,4224.03,""
210,"P1.2",0,2,1,"1",1,4224.04,""
211,"P1.3",0,3,1,"1",1,4224.04,""
212,"P1.4",0,4,1,"1",1,4224.13,""
213,"P1.5",0,5,1,"1",1,4224.14,""
214,"P1.6",0,6,1,"1",1,4224.21,""
215,"P1.7",0,7,1,"1",1,4224.22,""
216,"P1.8",0,8,1,"1",1,4224.23,""
217,"P1.1",0,1,1,"1",1,4191.75,""
218,"P1.2",0,2,1,"1",1,4191.76,""
219,"P1.3",0,3,1,"1",1,4191.77,""
220,"P1.4",0,4,1,"1",1,4191.78,""
221,"P1.5",0,5,1,"1",1,4191.79,""
222,"P1.6",0,6,1,"1",1,4191.8,""
223,"P1.7",0,7,1,"1",1,4191.85,""
224,"P1.8",0,8,1,"1",1,4191.86,""
225,"P1.1",0,1,1,"1",1,4215.89,""
226,"P1.2",0,2,1,"1",1,4215.9,""
227,"P1.3",0,3,1,"1",1,4215.9,""
228,"P1.4",0,4,1,"1",1,4215.91,""
229,"P1.5",0,5,1,"1",1,4215.92,""
230,"P1.6",0,6,1,"1",1,4215.92,""
231,"P1.7",0,7,1,"1",1,4215.93,""
232,"P1.8",0,8,1,"1",1,4215.94,""
233,"P1.1",0,1,1,"1",1,4187.77,""
234,"P1.2",0,2,1,"1",1,4187.77,""
235,"P1.3",0,3,1,"1",1,4187.78,""
236,"P1.4",0,4,1,"1",1,4187.79,""
237,"P1.5",0,5,1,"1",1,4187.8,""
238,"P1.6",0,6,1,"1",1,4187.81,""
239,"P1.7",0,7,1,"1",1,4187.81,""
240,"P1.8",0,8,1,"1",1,4187.82,""
241,"P1.1",0,1,1,"1",1,4234.62,""
242,"P1.2",0,2,1,"1",1,4234.65,""
243,"P1.3",0,3,1,"1",1,4234.66,""
244,"P1.4",0,4,1,"1",1,4234.67,""
245,"P1.5",0,5,1,"1",1,4234.68,""
246,"P1.6",0,6,1,"1",1,4234.69,""
247,"P1.7",0,7,1,"1",1,4234.7,""
248,"P1.8",0,8,1,"1",1,4234.7,""
249,"P1.1",0,1,1,"1",1,4193.62,""
250,"P1.2",0,2,1,"1",1,4193.66,""
251,"P1.3",0,3,1,"1",1,4193.68,""
252,"P1.4",0,4,1,"1",1,4193.69,""
253,"P1.5",0,5,1,"1",1,4193.7,""
254,"P1.6",0,6,1,"1",1,4193.71,""
255,"P1.7",0,7,1,"1",1,4193.72,""
256,"P1.8",0,8,1,"1",1,4193.79,""
257,"P1.1",0,1,1,"1",1,4233.85,""
258,"P1.2",0,2,1,"1",1,4233.85,""
259,"P1.3",0,3,1,"1",1,4233.86,""
260,"P1.4",0,4,1,"1",1,4233.9,""
261,"P1.5",0,5,1,"1",1,4233.9,""
262,"P1.6",0,6,1,"1",1,4233.93,""
263,"P1.7",0,7,1,"1",1,4234.95,""
264,"P1.8",0,8,1,"1",1,4234.96,""
265,"P1.1",0,1,1,"1",1,4217.41,""
266,"P1.2",0,2,1,"1",1,4217.53,""
267,"P1.3",0,3,1,"1",1,4217.55,""
268,"P1.4",0,4,1,"1",1,4217.56,""
269,"P1.5",0,5,1,"1",1,4217.56,""
270,"P1.6",0,6,1,"1",1,4217.57,""
271,"P1.7",0,7,1,"1",1,4217.58,""
272,"P1.8",0,8,1,"1",1,4217.58,""
273,"P1.1",0,1,1,"1",1,4193.09,""
274,"P1.2",0,2,1,"1",1,4193.12,""
275,"P1.3",0,3,1,"1",1,4193.15,""
276,"P1.4",0,4,1,"1",1,4193.18,""
277,"P1.5",0,5,1,"1",1,4193.2,""
278,"P1.6",0,6,1,"1",1,4193.23,""
279,"P1.7",0,7,1,"1",1,4193.26,""
280,"P1.8",0,8,1,"1",1,4193.28,""
281,"P1.1",0,1,1,"1",1,4188.14,""
282,"P1.2",0,2,1,"1",1,4188.15,""
283,"P1.3",0,3,1,"1",1,4188.15,""
284,"P1.4",0,4,1,"1",1,4188.16,""
285,"P1.5",0,5,1,"1",1,4188.17,""
286,"P1.6",0,6,1,"1",1,4188.17,""
287,"P1.7",0,7,1,"1",1,4188.18,""
288,"P1.8",0,8,1,"1",1,4188.19,""
289,"P1.1",0,1,1,"1",1,4216.22,""
290,"P1.2",0,2,1,"1",1,4216.23,""
291,"P1.3",0,3,1,"1",1,4216.24,""
292,"P1.4",0,4,1,"1",1,4216.25,""
293,"P1.5",0,5,1,"1",1,4216.26,""
294,"P1.6",0,6,1,"1",1,4216.27,""
295,"P1.7",0,7,1,"1",1,4216.28,""
296,"P1.8",0,8,1,"1",1,4216.29,""
297,"P1.1",0,1,1,"1",1,4206.63,""
298,"P1.2",0,2,1,"1",1,4206.64,""
299,"P1.3",0,3,1,"1",1,4206.65,""
300,"P1.4",0,4,1,"1",1,4206.66,""
301,"P1.5",0,5,1,"1",1,4206.67,""
302,"P1.6",0,6,1,"1",1,4206.68,""
303,"P1.7",0,7,1,"1",1,4206.69,""
304,"P1.8",0,8,1,"1",1,4206.69,""
305,"P1.1",0,1,1,"1",1,4213.7,""
306,"P1.2",0,2,1,"1",1,4213.71,""
307,"P1.3",0,3,1,"1",1,4213.72,""
308,"P1.4",0,4,1,"1",1,4213.73,""
309,"P1.5",0,5,1,"1",1,4213.75,""
310,"P1.6",0,6,1,"1",1,4213.76,""
311,"P1.7",0,7,1,"1",1,4213.77,""
312,"P1.8",0,8,1,"1",1,4213.78,""
313,"P1.1",0,1,1,"1",1,4223.12,""
314,"P1.2",0,2,1,"1",1,4223.13,""
315,"P1.3",0,3,1,"1",1,4223.15,""
316,"P1.4",0,4,1,"1",1,4223.16,""
317,"P1.5",0,5,1,"1",1,4223.16,""
318,"P1.6",0,6,1,"1",1,4223.17,""
319,"P1.7",0,7,1,"1",1,4223.25,""
320,"P1.8",0,8,1,"1",1,4223.26,""
321,"P1.1",0,1,1,"1",1,4277.35,""
322,"P1.2",0,2,1,"1",1,4277.35,""
323,"P1.3",0,3,1,"1",1,4277.36,""
324,"P1.4",0,4,1,"1",1,4277.37,""
325,"P1.5",0,5,1,"1",1,4277.38,""
326,"P1.6",0,6,1,"1",1,4277.39,""
327,"P1.7",0,7,1,"1",1,4277.39,""
328,"P1.8",0,8,1,"1",1,4278.17,""
329,"P1.1",0,1,1,"1",1,4248.12,""
330,"P1.2",0,2,1,"1",1,4248.13,""
331,"P1.3",0,3,1,"1",1,4248.14,""
332,"P1.4",0,4,1,"1",1,4248.14,""
333,"P1.5",0,5,1,"1",1,4248.15,""
334,"P1.6",0,6,1,"1",1,4248.15,""
335,"P1.7",0,7,1,"1",1,4248.16,""
336,"P1.8",0,8,1,"1",1,4248.17,""
337,"P1.1",0,1,1,"1",1,4184.2,""
338,"P1.2",0,2,1,"1",1,4184.22,""
339,"P1.3",0,3,1,"1",1,4184.23,""
340,"P1.4",0,4,1,"1",1,4184.25,""
341,"P1.5",0,5,1,"1",1,4184.27,""
342,"P1.6",0,6,1,"1",1,4184.28,""
343,"P1.7",0,7,1,"1",1,4184.3,""
344,"P1.8",0,8,1,"1",1,4184.31,""
345,"P1.1",0,1,1,"1",1,4208.54,""
346,"P1.2",0,2,1,"1",1,4208.55,""
347,"P1.3",0,3,1,"1",1,4208.56,""
348,"P1.4",0,4,1,"1",1,4208.65,""
349,"P1.5",0,5,1,"1",1,4208.66,""
350,"P1.6",0,6,1,"1",1,4208.67,""
351,"P1.7",0,7,1,"1",1,4208.68,""
352,"P1.8",0,8,1,"1",1,4208.69,""
353,"P1.1",0,1,1,"1",1,4232.33,""
354,"P1.2",0,2,1,"1",1,4232.37,""
355,"P1.3",0,3,1,"1",1,4232.38,""
356,"P1.4",0,4,1,"1",1,4232.39,""
357,"P1.5",0,5,1,"1",1,4232.4,""
358,"P1.6",0,6,1,"1",1,4232.4,""
359,"P1.7",0,7,1,"1",1,4232.41,""
360,"P1.8",0,8,1,"1",1,4232.41,""
361,"P1.1",0,1,1,"1",1,4199.72,""
362,"P1.2",0,2,1,"1",1,4199.73,""
363,"P1.3",0,3,1,"1",1,4199.73,""
364,"P1.4",0,4,1,"1",1,4199.74,""
365,"P1.5",0,5,1,"1",1,4199.75,""
366,"P1.6",0,6,1,"1",1,4199.76,""
367,"P1.7",0,7,1,"1",1,4199.76,""
368,"P1.8",0,8,1,"1",1,4199.77,""
369,"P1.1",0,1,1,"1",1,4224.57,""
370,"P1.2",0,2,1,"1",1,4224.57,""
371,"P1.3",0,3,1,"1",1,4224.58,""
372,"P1.4",0,4,1,"1",1,4224.59,""
373,"P1.5",0,5,1,"1",1,4224.6,""
374,"P1.6",0,6,1,"1",1,4224.61,""
375,"P1.7",0,7,1,"1",1,4224.61,""
376,"P1.8",0,8,1,"1",1,4224.62,""
377,"P1.1",0,1,1,"1",1,4212.07,""
378,"P1.2",0,2,1,"1",1,4212.08,""
379,"P1.3",0,3,1,"1",1,4212.1,""
380,"P1.4",0,4,1,"1",1,4212.11,""
381,"P1.5",0,5,1,"1",1,4212.13,""
382,"P1.6",0,6,1,"1",1,4212.14,""
383,"P1.7",0,7,1,"1",1,4212.16,""
384,"P1.8",0,8,1,"1",1,4212.17,""
385,"P1.1",0,1,1,"1",1,4200.26,""
386,"P1.2",0,2,1,"1",1,4200.26,""
387,"P1.3",0,3,1,"1",1,4200.27,""
388,"P1.4",0,4,1,"1",1,4200.28,""
389,"P1.5",0,5,1,"1",1,4200.29,""
390,"P1.6",0,6,1,"1",1,4200.29,""
391,"P1.7",0,7,1,"1",1,4200.3,""
392,"P1.8",0,8,1,"1",1,4200.31,""
393,"P1.1",0,1,1,"1",1,4202.79,""
394,"P1.2",0,2,1,"1",1,4202.8,""
395,"P1.3",0,3,1,"1",1,4202.81,""
396,"P1.4",0,4,1,"1",1,4202.83,""
397,"P1.5",0,5,1,"1",1,4202.84,""
398,"P1.6",0,6,1,"1",1,4202.85,""
399,"P1.7",0,7,1,"1",1,4202.87,""
400,"P1.8",0,8,1,"1",1,4202.88,""
